row_type,model,fold,train_rows,test_rows,rmse,mae,r2,repeat,selected_alpha,metric,mean,std,ci_lower,ci_upper
fold,ridge_alpha_grid,r3_f3,324,87,4.160582133518578,3.2669886222543902,0.1496182949617202,3.0,10.0,,,,,
fold,knn_k7,r3_f3,324,87,4.622332300862975,3.5305418719211827,-0.049610185233430526,3.0,,,,,,
fold,mean_baseline,r3_f4,324,87,4.737483256473208,3.995881226053641,-0.019307241883126824,3.0,,,,,,
fold,ols,r3_f4,324,87,3.065502199322114,2.498052200982984,0.5732112159378447,3.0,,,,,,
fold,ridge_alpha_grid,r3_f4,324,87,3.2328025595845022,2.595442196780884,0.5253558897252504,3.0,100.0,,,,,
fold,knn_k7,r3_f4,324,87,4.068674204436104,3.222167487684729,0.24817707451277482,3.0,,,,,,
fold,mean_baseline,r3_f5,338,73,4.6448163486519585,3.8722217719056493,-0.004262393005078469,3.0,,,,,,
fold,ols,r3_f5,338,73,3.756206555098441,3.086949324365168,0.3432364554101699,3.0,,,,,,
fold,ridge_alpha_grid,r3_f5,338,73,3.7516677178516704,3.083995994641312,0.34482270567288775,3.0,10.0,,,,,
fold,knn_k7,r3_f5,338,73,4.437279488510466,3.7945205479452038,0.0834763539947585,3.0,,,,,,
summary,mean_baseline,rmse_mean,328,82,4.721525762165657,,,,,rmse,4.721525762165657,0.4140632711853429,4.511980835431595,4.931070688899718
summary,mean_baseline,mae_mean,328,82,,3.833344156637684,,,,mae,3.833344156637684,0.35499876550577014,3.653689993891887,4.012998319383481
summary,mean_baseline,r2_mean,328,82,,,-0.03659786419498617,,,r2,-0.03659786419498617,0.06435378510762904,-0.0691653728919879,-0.004030355497984438
summary,ols,rmse_mean,328,82,3.5019326496024887,,,,,rmse,3.5019326496024887,0.6429787262925395,3.176540518813325,3.8273247803916526
summary,ols,mae_mean,328,82,,2.7159527945103608,,,,mae,2.7159527945103608,0.511074797573886,2.457313261700149,2.9745923273205723
summary,ols,r2_mean,328,82,,,0.3957545209579139,,,r2,0.3957545209579139,0.2868719078200595,0.2505773050842869,0.5409317368315409
summary,ridge_alpha_grid,rmse_mean,328,82,3.5052797204009067,,,,,rmse,3.5052797204009067,0.6196798155266814,3.191678465280186,3.8188809755216275
summary,ridge_alpha_grid,mae_mean,328,82,,2.716964558687477,,,,mae,2.716964558687477,0.49802867899995223,2.4649272728066123,2.969001844568342
summary,ridge_alpha_grid,r2_mean,328,82,,,0.3967685037977764,,,r2,0.3967685037977764,0.27512116581640567,0.25753798386068494,0.5359990237348679
summary,knn_k7,rmse_mean,328,82,4.145549261589192,,,,,rmse,4.145549261589192,0.4647782030171855,3.9103390382336647,4.380759484944719
summary,knn_k7,mae_mean,328,82,,3.297596061438722,,,,mae,3.297596061438722,0.4770372514611403,3.0561819035959266,3.5390102192815176
summary,knn_k7,r2_mean,328,82,,,0.17464079667721324,,,r2,0.17464079667721324,0.2417961077288301,0.05227508301810621,0.2970065103363203
