row_type,model,fold,train_rows,test_rows,rmse,mae,r2,repeat,selected_alpha,feature_count,feature_set,metric,mean,std,ci_lower,ci_upper,rmse_mean,rmse_delta_vs_best
fold,ridge_engineered_interactions,r2_f2,333,78,3.001320611732508,2.4775498250888064,0.6009506094153055,2.0,100.0,12,engineered_interactions,,,,,,,
fold,ridge_engineered_interactions,r2_f3,328,83,2.888278079333244,2.171171865236372,0.567741412336938,2.0,10.0,12,engineered_interactions,,,,,,,
fold,ridge_engineered_interactions,r2_f4,331,80,2.853624621990288,2.259940828437285,0.6119029258747866,2.0,10.0,12,engineered_interactions,,,,,,,
fold,ridge_engineered_interactions,r2_f5,327,84,4.701782591696007,3.5071574601707503,0.19803269511842425,2.0,10.0,12,engineered_interactions,,,,,,,
fold,ridge_engineered_interactions,r3_f1,331,80,2.5725652148846634,1.9838121462841722,0.6324965456537328,3.0,10.0,12,engineered_interactions,,,,,,,
fold,ridge_engineered_interactions,r3_f2,327,84,2.9425543001278736,2.218894297338115,0.6902949689575335,3.0,100.0,12,engineered_interactions,,,,,,,
fold,ridge_engineered_interactions,r3_f3,324,87,3.9837014068901753,3.0564703068164336,0.22038665107543187,3.0,10.0,12,engineered_interactions,,,,,,,
fold,ridge_engineered_interactions,r3_f4,324,87,2.6367889445483668,2.033590385350799,0.6842375581551428,3.0,100.0,12,engineered_interactions,,,,,,,
fold,ridge_engineered_interactions,r3_f5,338,73,3.6861368032814967,3.0259764610644817,0.3675109606827033,3.0,10.0,12,engineered_interactions,,,,,,,
summary,ridge_engineered_metrics,rmse_mean,328,82,3.5052797204009067,,,,,7,engineered_metrics,rmse,3.5052797204009067,0.6196798155266814,3.191678465280186,3.8188809755216275,3.5052797204009067,0.3232882922953437
summary,ridge_engineered_metrics,mae_mean,328,82,,2.716964558687477,,,,7,engineered_metrics,mae,2.716964558687477,0.49802867899995223,2.4649272728066123,2.969001844568342,3.5052797204009067,0.3232882922953437
summary,ridge_engineered_metrics,r2_mean,328,82,,,0.3967685037977764,,,7,engineered_metrics,r2,0.3967685037977764,0.27512116581640567,0.25753798386068494,0.5359990237348679,3.5052797204009067,0.3232882922953437
summary,ridge_raw_metric_inputs,rmse_mean,328,82,3.181991428105563,,,,,21,raw_metric_inputs,rmse,3.181991428105563,0.5813938316709869,2.8877655540927014,3.4762173021184246,3.181991428105563,0.0
summary,ridge_raw_metric_inputs,mae_mean,328,82,,2.5023663143667982,,,,21,raw_metric_inputs,mae,2.5023663143667982,0.4644129024619049,2.267340958598954,2.7373916701346426,3.181991428105563,0.0
summary,ridge_raw_metric_inputs,r2_mean,328,82,,,0.5022025847867535,,,21,raw_metric_inputs,r2,0.5022025847867535,0.23905264335356965,0.38122525566092264,0.6231799139125844,3.181991428105563,0.0
summary,ridge_raw_plus_engineered,rmse_mean,328,82,3.1922162876781868,,,,,28,raw_plus_engineered,rmse,3.1922162876781868,0.5344062241867681,2.9217694239105545,3.462663151445819,3.1922162876781868,0.010224859572623757
summary,ridge_raw_plus_engineered,mae_mean,328,82,,2.5142954119990932,,,,28,raw_plus_engineered,mae,2.5142954119990932,0.44235192827121517,2.2904344495550917,2.738156374443095,3.1922162876781868,0.010224859572623757
summary,ridge_raw_plus_engineered,r2_mean,328,82,,,0.5037586144075605,,,28,raw_plus_engineered,r2,0.5037586144075605,0.20766455907345047,0.39866584756606716,0.6088513812490539,3.1922162876781868,0.010224859572623757
summary,ridge_engineered_interactions,rmse_mean,328,82,3.253808131703577,,,,,12,engineered_interactions,rmse,3.253808131703577,0.701682019216446,2.8987080358018016,3.608908227605353,3.253808131703577,0.07181670359801418
summary,ridge_engineered_interactions,mae_mean,328,82,,2.5183301910231717,,,,12,engineered_interactions,mae,2.5183301910231717,0.5224428885339724,2.2539376104226596,2.7827227716236838,3.253808131703577,0.07181670359801418
summary,ridge_engineered_interactions,r2_mean,328,82,,,0.47514383177693775,,,12,engineered_interactions,r2,0.47514383177693775,0.26096998757969353,0.34307479611813946,0.607212867435736,3.253808131703577,0.07181670359801418
