pitcher,pitch_type,pitches,avg_velocity,avg_release_extension,avg_pfx_x,avg_pfx_z,swings,whiffs,out_of_zone_pitches,chases,batted_balls,hard_hits,avg_run_value,whiff_rate,chase_rate,hard_hit_rate
676106,SI,40,93.6125,6.09,-1.6255,0.51775,21,1,15,5,19,5,-0.015950000000000002,0.047619047619047616,0.3333333333333333,0.2631578947368421
607200,SI,40,92.535,6.6674999999999995,-1.1195,0.7705,14,2,16,3,12,4,-0.020125,0.14285714285714285,0.1875,0.3333333333333333
663855,ST,40,80.34,6.4925,0.95475,0.2375,22,8,24,10,13,3,-0.034725,0.36363636363636365,0.4166666666666667,0.23076923076923078
687064,FF,39,93.26410256410257,6.653846153846154,-0.18435897435897436,1.5256410256410255,21,7,23,11,13,3,0.0382051282051282,0.3333333333333333,0.4782608695652174,0.23076923076923078
669358,KC,39,84.3025641025641,6.346153846153846,0.6833333333333333,-1.1971794871794872,20,5,17,4,14,6,0.01771794871794872,0.25,0.23529411764705882,0.42857142857142855
656849,SI,39,91.43333333333334,7.225641025641026,1.2687179487179487,0.7576923076923077,14,4,14,4,10,5,0.011025641025641025,0.2857142857142857,0.2857142857142857,0.5
543294,SI,39,86.07435897435897,5.515384615384615,-1.2707692307692309,0.663076923076923,15,2,23,5,13,2,0.0008461538461538474,0.13333333333333333,0.21739130434782608,0.15384615384615385
694037,FF,38,98.07368421052632,6.678947368421053,-1.0215789473684211,1.2976315789473685,14,5,14,0,9,2,0.0425,0.35714285714285715,0.0,0.2222222222222222
543135,CU,38,76.13684210526316,6.834210526315789,0.7834210526315789,-0.6907894736842105,18,7,24,12,9,3,0.03573684210526316,0.3888888888888889,0.5,0.3333333333333333
667755,SI,38,96.12894736842105,6.697368421052632,-0.9371052631578948,0.2910526315789474,23,3,13,5,17,7,0.026447368421052636,0.13043478260869565,0.38461538461538464,0.4117647058823529
641154,ST,38,84.43684210526315,7.118421052631579,1.0026315789473685,0.0018421052631578964,19,6,23,12,11,0,0.022842105263157893,0.3157894736842105,0.5217391304347826,0.0
663623,SI,38,90.89473684210526,7.081578947368421,-1.424736842105263,0.5989473684210527,22,1,10,2,20,5,0.017894736842105262,0.045454545454545456,0.2,0.25
681343,FF,38,94.21052631578948,6.744736842105263,-0.47210526315789475,1.230263157894737,15,2,10,0,13,1,2.6315789473686607e-05,0.13333333333333333,0.0,0.07692307692307693
676684,FF,38,97.08157894736841,6.378947368421053,-0.5173684210526316,1.391842105263158,16,5,17,1,11,3,-0.019157894736842106,0.3125,0.058823529411764705,0.2727272727272727
641816,FF,38,92.33421052631579,6.5131578947368425,-0.9113157894736843,1.505,14,0,17,2,14,2,-0.02307894736842106,0.0,0.11764705882352941,0.14285714285714285
670102,FF,38,93.25263157894737,6.681578947368421,-0.5544736842105263,1.588421052631579,25,5,12,4,19,7,-0.031815789473684214,0.2,0.3333333333333333,0.3684210526315789
519141,FF,37,92.7081081081081,5.8297297297297295,0.19837837837837838,1.5735135135135134,21,7,13,4,12,3,0.06756756756756757,0.3333333333333333,0.3076923076923077,0.25
622663,SI,37,95.02702702702703,6.227027027027027,-1.2264864864864866,1.0556756756756758,19,3,14,6,14,3,0.04454054054054054,0.15789473684210525,0.42857142857142855,0.21428571428571427
657376,FC,37,92.6837837837838,6.232432432432432,-0.022702702702702703,0.8729729729729729,10,2,23,2,7,0,0.010972972972972972,0.2,0.08695652173913043,0.0
686993,FF,37,93.58108108108108,6.437837837837837,-0.6813513513513514,1.4562162162162162,19,4,22,8,14,1,0.0027837837837837846,0.21052631578947367,0.36363636363636365,0.07142857142857142
657277,SI,37,92.34864864864865,6.986486486486487,-1.5621621621621622,0.19513513513513514,16,1,13,3,14,4,-0.013837837837837832,0.0625,0.23076923076923078,0.2857142857142857
471911,SI,37,90.53783783783784,6.789189189189189,-1.0991891891891892,0.38054054054054054,18,4,18,4,13,6,-0.041135135135135135,0.2222222222222222,0.2222222222222222,0.46153846153846156
672782,FF,37,93.54054054054055,6.845945945945946,-0.4289189189189189,1.3451351351351353,13,2,18,1,11,2,-0.061972972972972974,0.15384615384615385,0.05555555555555555,0.18181818181818182
656302,FF,37,95.67567567567568,6.37027027027027,-0.45918918918918916,1.628918918918919,17,7,23,6,9,2,-0.06772972972972974,0.4117647058823529,0.2608695652173913,0.2222222222222222
543135,FC,36,91.01388888888889,6.9,-0.0661111111111111,1.0341666666666667,16,2,14,2,12,3,0.052,0.125,0.14285714285714285,0.25
663559,FF,36,91.38888888888889,7.105555555555556,0.2652777777777778,1.4794444444444443,11,1,14,1,9,4,0.020000000000000004,0.09090909090909091,0.07142857142857142,0.4444444444444444
671922,FF,36,95.13888888888889,7.491666666666666,-0.7422222222222222,1.4322222222222223,13,5,24,5,7,2,0.01433333333333333,0.38461538461538464,0.20833333333333334,0.2857142857142857
605135,SI,36,90.90833333333333,6.3805555555555555,-1.5297222222222222,0.4272222222222222,18,1,12,5,17,5,0.011500000000000002,0.05555555555555555,0.4166666666666667,0.29411764705882354
608566,SL,36,89.59722222222223,5.686111111111111,-0.01916666666666667,0.45222222222222225,15,4,17,5,11,0,0.010583333333333337,0.26666666666666666,0.29411764705882354,0.0
665795,CH,36,94.34722222222223,6.519444444444444,-1.331388888888889,0.31055555555555553,18,1,20,6,16,7,-0.002416666666666666,0.05555555555555555,0.3,0.4375
656288,FF,36,94.29166666666667,6.1194444444444445,-0.9202777777777779,1.3127777777777778,13,2,21,4,8,1,-0.004833333333333335,0.15384615384615385,0.19047619047619047,0.125
663903,SI,36,92.65,6.855555555555556,-1.4027777777777777,0.8713888888888889,12,3,21,2,7,3,-0.014888888888888887,0.25,0.09523809523809523,0.42857142857142855
676962,KC,36,85.92222222222222,6.644444444444444,0.2538888888888889,-0.3638888888888889,21,8,21,10,13,4,-0.01883333333333333,0.38095238095238093,0.47619047619047616,0.3076923076923077
596271,CH,36,80.54722222222222,6.113888888888889,-1.4372222222222222,0.06722222222222222,15,2,27,10,11,2,-0.019972222222222218,0.13333333333333333,0.37037037037037035,0.18181818181818182
669211,FF,36,93.33333333333333,5.677777777777778,1.0583333333333333,1.4294444444444445,17,3,18,3,13,2,-0.025083333333333332,0.17647058823529413,0.16666666666666666,0.15384615384615385
693312,FF,36,96.35555555555555,6.902777777777778,-0.49027777777777776,1.4694444444444443,15,1,17,3,13,2,-0.03513888888888889,0.06666666666666667,0.17647058823529413,0.15384615384615385
656427,FF,36,93.43333333333334,6.569444444444445,-0.4719444444444444,1.3763888888888889,19,2,14,5,16,2,-0.05694444444444445,0.10526315789473684,0.35714285714285715,0.125
622491,FF,35,95.20857142857143,5.2628571428571425,-1.1357142857142857,1.0771428571428572,23,6,12,2,17,6,0.06105714285714286,0.2608695652173913,0.16666666666666666,0.35294117647058826
554430,FF,35,96.07142857142857,7.1971428571428575,-0.7588571428571428,1.2757142857142856,17,3,11,2,12,1,0.027885714285714285,0.17647058823529413,0.18181818181818182,0.08333333333333333
686613,FF,35,96.79714285714286,6.648571428571429,-0.4894285714285714,1.3554285714285714,14,4,18,4,10,1,0.02202857142857143,0.2857142857142857,0.2222222222222222,0.1
676979,SI,35,95.78285714285714,6.7057142857142855,1.404,0.5837142857142857,14,1,19,7,12,1,0.0174,0.07142857142857142,0.3684210526315789,0.08333333333333333
682990,SL,35,85.34571428571428,6.365714285714286,0.28828571428571426,0.009142857142857144,19,4,23,9,14,2,0.016685714285714283,0.21052631578947367,0.391304347826087,0.14285714285714285
693821,SL,35,83.84285714285714,5.928571428571429,0.24942857142857144,0.03285714285714286,19,6,17,7,13,5,0.011399999999999997,0.3157894736842105,0.4117647058823529,0.38461538461538464
682842,SL,35,87.39714285714285,6.462857142857143,0.7671428571428572,0.4074285714285714,20,12,17,6,7,0,0.006114285714285713,0.6,0.35294117647058826,0.0
